Unnamed: 0,base_name,solvent_name,activator_name,nucleophile_name,base_smiles,solvent_smiles,activator_smiles,nucleophile_smiles,yield,nucleophile_id
65,"2,6-Lutidine",MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.04,n1
66,N-methylmorpholine,MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,8.58,n1
67,Diisopropylethylamine,MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,15.37,n1
68,1-Methylimidazole,DMF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,11.51,n1
69,"2,6-Lutidine",DMF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.1,n1
70,N-methylmorpholine,DMF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,6.0,n1
71,Diisopropylethylamine,DMF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,20.17,n1
72,1-Methylimidazole,THF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,20.65,n1
73,"2,6-Lutidine",THF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,14.55,n1
74,N-methylmorpholine,THF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,47.92,n1
75,Diisopropylethylamine,THF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,51.84,n1
76,1-Methylimidazole,MeCN,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,46.34,n1
77,"2,6-Lutidine",MeCN,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,27.33,n1
78,N-methylmorpholine,MeCN,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,47.38,n1
79,Diisopropylethylamine,MeCN,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,31.45,n1
80,1-Methylimidazole,DMF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,14.09,n1
81,"2,6-Lutidine",DMF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,17.17,n1
82,N-methylmorpholine,DMF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,40.13,n1
83,Diisopropylethylamine,DMF,DPPCl,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,N#Cc1ccc(N)cc1C(F)(F)F,37.73,n1
84,1-Methylimidazole,THF,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,5.85,n1
85,"2,6-Lutidine",THF,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.3,n1
86,N-methylmorpholine,THF,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,1.59,n1
87,Diisopropylethylamine,THF,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,3.2,n1
88,1-Methylimidazole,MeCN,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,5.87,n1
89,"2,6-Lutidine",MeCN,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.46,n1
90,N-methylmorpholine,MeCN,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,4.0,n1
91,Diisopropylethylamine,MeCN,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,3.7,n1
92,1-Methylimidazole,DMF,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.81,n1
93,"2,6-Lutidine",DMF,HOTU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.52,n1
