,electrophile_id,ligand_name,yield
702,s31,A-paPhos,64.57424151016833
703,s31,PXy3,64.47473095261263
704,s31,PMe3 HBF4,9.94294541208524
705,s31,CX-PCy,41.08974992702151
706,s31,CX-FBu,62.97302617495379
707,s31,PPh2Cy,100.0
708,s31,P(p-F-Ph)3,87.56118030553664
709,s31,PCy3 HBF4,24.299604943076773
710,s31,Cy-vBRIDP,30.99395154227888
711,s31,P(o-Anis)3,30.17072783886348
712,s31,PPh3,92.74477571275663
713,s32,Cy-JohnPhos,94.77821198543823
714,s32,Ph-SPhos,89.53683001960235
715,s32,Cy-BippyPhos,94.39612993559228
716,s32,MeO-KITPHOS,83.19818678241388
717,s32,MePhos,82.72793195183422
718,s32,Kwong,87.80276533183982
719,s32,Cy-PhenCar-Phos,89.09596611593389
720,s32,Ph-XPhos,63.23195043405209
721,s32,VPhos,46.77303136376365
722,s32,Ph-DavePhos,88.16525343041165
723,s32,PPhtBu2,39.66042705124615
724,s32,P(p-Anis)3,81.42493419210305
725,s32,A-paPhos,79.59289974796977
726,s32,PXy3,68.12064127695322
727,s32,PMe3 HBF4,42.335001400168025
728,s32,CX-PCy,91.00637636516382
729,s32,CX-FBu,51.67151918230187
730,s32,PPh2Cy,83.41372024642956
731,s32,P(p-F-Ph)3,88.62571128535424
732,s32,PCy3 HBF4,56.58960095211425
733,s32,Cy-vBRIDP,41.502258471016525
734,s32,P(o-Anis)3,77.97639876785215
735,s32,PPh3,81.25838560627275
736,s33,Cy-JohnPhos,84.89
737,s33,Ph-SPhos,36.83
738,s33,Cy-BippyPhos,53.33
739,s33,MeO-KITPHOS,63.84
740,s33,MePhos,67.73
741,s33,Kwong,71.1
742,s33,Cy-PhenCar-Phos,57.26
743,s33,Ph-XPhos,26.67
744,s33,VPhos,70.87
745,s33,Ph-DavePhos,72.47
746,s33,PPhtBu2,20.79
747,s33,P(p-Anis)3,90.49
748,s33,A-paPhos,97.24
749,s33,PXy3,95.37
750,s33,PMe3 HBF4,20.55
751,s33,CX-PCy,56.34
752,s33,CX-FBu,19.93
753,s33,PPh2Cy,89.43
754,s33,P(p-F-Ph)3,86.07
755,s33,PCy3 HBF4,21.31
756,s33,Cy-vBRIDP,62.96
757,s33,P(o-Anis)3,48.97
758,s33,PPh3,90.33
