,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
72,bromide73,Brc1ccc(nc1)c2cccnc2,Ir,0.82,3797516.9
73,bromide74,CS(=O)(=O)c1ccc(Br)cn1,Ir,0.16,3512041.1
74,bromide75,CCOC(=O)c1csc(Br)n1,Ir,0.23,4238359.2
75,bromide76,Brc1cccc(n1)N2CCCC2=O,Ir,0.55,2003740.1
76,bromide77,Brc1cccnc1N2CCC(=O)C2,Ir,0.02,63708.9
77,bromide78,Cc1onc(c1)c2nn(C)cc2Br,Ir,0.01,0.0
78,bromide79,CON(C)C(=O)c1ncccc1Br,Ir,0.04,3293.1
79,bromide80,OC(c1ccc(Br)cn1)C(F)(F)F,Ir,0.02,114471.1
80,bromide81,COC(=O)CC(=O)c1cncc(Br)c1,Ir,0.01,12972.8
81,bromide82,COC(=O)c1cc(cc(Br)n1)[N+](=O)[O-],Ir,0.0,415532.8
82,bromide83,O[C@H]1CCC[C@H]([C@@H]1O)n2cc(Br)cn2,Ir,0.01,0.0
83,bromide84,FC(F)(F)c1ccc2nc(Br)ccc2c1,Ir,0.32,3550069.8
84,bromide85,Brc1cccc(CNC(=O)c2ocnc2)n1,Ir,0.13,1328778.9
85,bromide86,Brc1cnc(On2nnc3ccccc23)nc1,Ir,0.01,2264.5
86,bromide87,COC(=O)c1cn(Cc2cccc(Br)n2)nn1,Ir,0.07,2324747.7
87,bromide88,COC(=O)C(C)(C)CCOc1ccc(Br)nc1,Ir,0.06,1317364.6
88,bromide89,CSCCNC(=O)c1cc(Br)cn1C(C)C,Ir,0.01,8495.9
89,bromide90,Cc1cc(Br)nc(Nc2cc(ccn2)C(F)(F)F)c1,Ir,0.1,1658429.4
90,bromide91,CC(C)(C)OC(=O)N1CCN(CC1)c2ccc(Br)cn2,Ir,0.09,29700.5
91,bromide92,CC(C)(C)OC(=O)N1CCN(CC1)c2cncc(Br)c2,Ir,0.82,2803441.4
92,bromide93,Brc1cn(Cc2ccc(OCc3ccccc3)nc2)cn1,Ir,0.01,136647.8
93,bromide94,CC(=O)N1CCN(CC1)C2CCc3nc(Br)sc3C2,Ir,0.08,1557151.4
94,bromide95,COc1ccc(Nc2nc(Br)cn3ccnc23)cc1OC,Ir,0.03,298998.6
95,bromide96,CCOC(=O)[C@H]1CC[C@@H](C[C@H]1C)C(C)(O)c2ccc(Br)cn2,Ir,0.07,3307407.4
96,bromide97,COC(=O)C1Cc2ncc(Br)cc2N(Cc3ccccc3)C1=O,Ir,0.0,0.0
97,bromide98,CC(C)OC(=O)[C@@H]1[C@H](C)C[C@](O)(C[C@@H]1C)c2ncc(Br)s2,Ir,0.02,0.0
98,bromide99,Cc1cc(Br)nc(c1)N(c2cc(ccn2)C(F)(F)F)S(=O)(=O)C,Ir,0.05,1953201.3
99,bromide100,Cc1cc(Br)nc(c1)N(C(=O)C(C)(C)C)c2cc(ccn2)C(F)(F)F,Ir,0.05,1647388.5
100,bromide101,CCOC(=O)N1[C@H](CC)C[C@H](Nc2ncc(Br)cn2)c3cc(ccc13)C(F)(F)F,Ir,0.0,902498.3
101,bromide102,Brc1ccc2NCCc2c1,Ir,0.0,0.0
102,bromide103,Brc1ccc2[nH]ccc2c1,Ir,0.0,0.0
103,bromide104,Brc1ccc2cc[nH]c2c1,Ir,0.01,0.0
104,bromide105,Brc1cccc2[nH]ccc12,Ir,0.0,0.0
105,bromide106,Brc1cccc2cc[nH]c12,Ir,0.01,149061.5
106,bromide107,Brc1ccc2ccoc2c1,Ir,0.02,219113.4
107,bromide108,Brc1ccc2occc2c1,Ir,0.04,305893.9
108,bromide109,Brc1cccc2ccoc12,Ir,0.02,977849.6
109,bromide110,Brc1ccc2[nH]ncc2c1,Ir,0.01,10259.5
110,bromide111,Brc1cccc2[nH]ncc12,Ir,0.04,49243.5
111,bromide112,Brc1ccc2cnoc2c1,Ir,0.03,17136.6
112,bromide113,Brc1ccc2ncoc2c1,Ir,0.01,0.0
113,bromide114,Brc1ccc2ocnc2c1,Ir,0.0,35636.8
114,bromide115,Brc1ccc2[nH]nnc2c1,Ir,0.0,0.0
